position,waist,elbow,hand,offsetx,offsety

左后放置(下半部分),183,20,-30,-70,放置摇晃需稳定
中间放置(下半部分),215,20,-70,-70
右后放置(下半部分),245,0,-50,0

左后拿取(上半部分),183,30,20,-100->0
中间拿取(上半部分),215,40,0,-70
右后拿取(上半部分),245,35,15,-100

左后放置(上半部分),183,40,60->30,-70
中间放置(上半部分),215,50,30,-70
右后放置(上半部分),245,40,30,-70

上层原料(上半部分),0,70,90,0/-150,4
上层原料(下半部分),0,20,90,0/-150
粗加工区(上半部分),地面,地面,地面,地面,4.5,-0.5
地面,0,-50,-100,0/-150
